,PREC.I.1..in.,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
23488,8.3,3.18E+00,-1.30E-01,6.50E-01,-9.30E-01,-2.30E-01,-9.10E-01,-1.00E-02,-1.10E-01
23489,8.3,2.52E+00,-8.20E-01,4.90E-01,-4.10E-01,-3.00E-01,-7.30E-01,0.00E+00,-1.20E-01
23490,8.3,1.18E+00,-2.12E+00,9.00E-02,2.90E-01,-1.00E-01,-1.32E+00,-7.00E-02,-9.00E-02
23491,8.3,9.90E-01,-2.14E+00,1.20E-01,2.90E-01,-1.30E-01,-1.05E+00,-6.00E-02,-9.00E-02
23492,8.3,8.20E-01,-2.26E+00,1.10E-01,3.30E-01,-1.00E-01,-9.70E-01,-5.00E-02,-7.00E-02
23493,8.3,8.40E-01,-2.35E+00,2.50E-01,5.60E-01,-2.90E-01,-3.00E-01,0.00E+00,-9.00E-02
23494,8.3,1.00E+00,-1.83E+00,-3.30E-01,7.50E-01,7.00E-02,3.10E-01,2.00E-02,1.00E-02
23495,8.3,1.22E+00,-1.96E+00,-4.10E-01,1.02E+00,1.20E-01,4.10E-01,3.00E-02,3.00E-02
23496,8.3,7.30E-01,-2.35E+00,-6.80E-01,1.11E+00,4.20E-01,-5.30E-01,-4.00E-02,6.00E-02
23497,8.3,7.40E-01,-2.22E+00,-5.90E-01,1.04E+00,3.20E-01,-1.30E-01,-3.00E-02,6.00E-02
23498,8.3,5.40E-01,-2.50E+00,-6.10E-01,1.16E+00,3.90E-01,-2.70E-01,-3.00E-02,7.00E-02
23499,8.3,4.00E-01,-2.45E+00,-6.10E-01,1.08E+00,4.10E-01,-3.00E-01,-3.00E-02,7.00E-02
23500,8.3,4.40E-01,-2.38E+00,-5.70E-01,1.09E+00,3.50E-01,-8.00E-02,-2.00E-02,7.00E-02
23501,8.3,5.90E-01,-2.42E+00,-5.60E-01,1.14E+00,4.50E-01,-3.30E-01,-2.00E-02,8.00E-02
23502,8.3,1.34E+00,-1.65E+00,-4.50E-01,5.00E-01,7.30E-01,-1.23E+00,-3.00E-02,1.10E-01
23503,8.3,2.82E+00,3.00E-02,-3.00E-02,-4.10E-01,5.20E-01,-8.10E-01,-2.00E-02,9.00E-02
23504,8.3,3.39E+00,7.00E-01,1.50E-01,-7.40E-01,4.10E-01,-6.20E-01,-2.00E-02,8.00E-02
23505,8.3,3.53E+00,5.00E-01,3.00E-02,-7.00E-01,7.50E-01,-1.56E+00,-3.00E-02,1.10E-01
23506,8.3,3.09E+00,5.20E-01,1.00E-01,-9.40E-01,7.50E-01,-2.10E+00,-3.00E-02,8.00E-02
23507,8.3,3.27E+00,8.00E-02,7.30E-01,-1.12E+00,3.70E-01,-2.39E+00,-4.00E-02,-1.00E-02
23508,8.2,3.43E+00,3.00E-02,6.70E-01,-9.80E-01,2.90E-01,-2.25E+00,-4.00E-02,-2.00E-02
23509,8.2,3.39E+00,-2.90E-01,5.40E-01,-7.70E-01,3.50E-01,-2.52E+00,-4.00E-02,-3.00E-02
23510,8.2,3.28E+00,-5.20E-01,3.90E-01,-6.00E-01,3.30E-01,-2.71E+00,-6.00E-02,-5.00E-02
23511,8.3,3.12E+00,-7.00E-01,2.50E-01,-4.90E-01,2.70E-01,-2.67E+00,-8.00E-02,-7.00E-02
