,SMS.I.1..2..pct....silt.,V1,V2,V3,V4V,5V,V6,V7,V8
24658,3.6,-1.05E+00,-1.76E+00,-9.31E-01,-9.35E-01,2.44E-02,2.86E-02,-1.15E-01,-4.47E-01
24659,4.2,-1.12E+00,-1.55E+00,4.21E-01,-1.32E+00,-4.13E-02,4.32E-02,-1.50E-01,5.13E-01
24660,5.1,-1.16E+00,-1.48E+00,4.07E-01,-1.31E+00,-4.39E-02,4.15E-02,-1.47E-01,5.22E-01
24661,9.2,-1.20E+00,-1.27E+00,4.40E-01,-1.37E+00,-3.87E-02,3.27E-02,-1.09E-01,5.24E-01
24662,10.4,-1.25E+00,-1.16E+00,4.76E-01,-1.29E+00,-4.79E-02,2.95E-02,-9.65E-02,5.88E-01
24663,11.4,-1.41E+00,-9.64E-01,4.57E-01,-1.37E+00,-3.96E-02,2.99E-02,-1.04E-01,4.95E-01
24664,11.3,-1.52E+00,-1.36E+00,1.94E+00,-1.90E+00,-1.32E-02,6.79E-02,-1.79E-01,-4.54E-01
24665,10.7,-1.51E+00,-1.41E+00,1.91E+00,-1.87E+00,-1.15E-02,6.80E-02,-1.76E-01,-4.66E-01
24666,10.2,-1.51E+00,-1.44E+00,1.90E+00,-1.87E+00,-9.98E-03,6.88E-02,-1.78E-01,-4.79E-01
24667,9.3,-1.50E+00,-1.25E+00,2.35E-02,-1.24E+00,1.40E-02,3.45E-02,-1.05E-01,-4.70E-01
24668,4.8,-1.42E+00,-1.51E+00,-2.62E-01,-1.09E+00,9.80E-03,3.87E-02,-1.33E-01,-4.27E-01
24669,3,-1.43E+00,-1.55E+00,-3.33E-01,-1.02E+00,-4.58E-04,4.30E-02,-1.66E-01,-3.75E-01
24670,3,-1.37E+00,-1.56E+00,-4.40E-01,-1.01E+00,4.21E-03,4.12E-02,-1.64E-01,-3.95E-01
24671,2.6,-1.29E+00,-1.68E+00,-5.68E-01,-9.91E-01,4.86E-03,3.99E-02,-1.61E-01,-3.74E-01
24672,2.9,-1.23E+00,-1.68E+00,-6.26E-01,-9.67E-01,1.07E-02,3.81E-02,-1.58E-01,-4.11E-01
24673,2.3,-1.26E+00,-1.71E+00,-6.48E-01,-9.59E-01,7.12E-03,3.82E-02,-1.58E-01,-3.83E-01
24674,3.1,-1.25E+00,-1.67E+00,-7.01E-01,-9.23E-01,1.38E-02,3.16E-02,-1.15E-01,-3.77E-01
24675,5.7,-1.20E+00,-1.55E+00,-7.63E-01,-9.84E-01,2.00E-02,2.87E-02,-1.17E-01,-4.55E-01
24676,2.3,-1.19E+00,-1.72E+00,-7.92E-01,-9.25E-01,1.17E-02,3.60E-02,-1.54E-01,-4.09E-01
24677,2.4,-1.18E+00,-1.76E+00,-8.67E-01,-9.21E-01,9.85E-03,3.47E-02,-1.52E-01,-3.94E-01
24678,2.2,-1.16E+00,-1.82E+00,-9.00E-01,-9.09E-01,1.05E-02,3.40E-02,-1.50E-01,-3.78E-01
24679,2.7,-1.12E+00,-1.79E+00,-1.02E+00,-8.78E-01,1.91E-02,3.19E-02,-1.47E-01,-4.86E-01
24680,4.9,-9.80E-01,-1.80E+00,-1.08E+00,-9.24E-01,3.00E-02,2.52E-02,-1.10E-01,-5.04E-01
24681,4.5,-9.81E-01,-1.82E+00,-1.04E+00,-9.22E-01,2.89E-02,2.55E-02,-1.10E-01,-4.73E-01
24682,4.6,-9.78E-01,-1.77E+00,-1.07E+00,-9.18E-01,2.87E-02,2.50E-02,-1.10E-01,-4.73E-01
24683,6.9,-1.09E+00,-1.47E+00,4.05E-01,-1.36E+00,-3.79E-02,3.51E-02,-1.11E-01,5.68E-01
24684,5.6,-1.21E+00,-1.39E+00,4.02E-01,-1.29E+00,-4.44E-02,3.98E-02,-1.45E-01,5.34E-01
24685,6.2,-1.27E+00,-1.30E+00,3.80E-01,-1.28E+00,-3.55E-02,3.46E-02,-1.06E-01,5.15E-01
24686,6.1,-1.30E+00,-1.28E+00,3.43E-01,-1.25E+00,-4.27E-02,3.83E-02,-1.40E-01,5.06E-01
24687,6.3,-1.36E+00,-1.24E+00,3.42E-01,-1.26E+00,-3.83E-02,3.39E-02,-1.03E-01,5.39E-01
24688,7.1,-1.44E+00,-1.64E+00,1.98E+00,-1.86E+00,-7.94E-03,7.42E-02,-1.85E-01,-5.03E-01
24689,6.8,-1.42E+00,-1.66E+00,1.91E+00,-1.83E+00,-3.08E-03,7.35E-02,-1.82E-01,-5.36E-01
24690,9.3,-1.35E+00,-1.56E+00,1.93E+00,-1.88E+00,-3.78E-03,7.10E-02,-1.82E-01,-5.31E-01
24691,8.9,-1.36E+00,-1.57E+00,1.84E+00,-1.84E+00,-7.50E-04,7.01E-02,-1.79E-01,-5.71E-01
24692,7.5,-1.41E+00,-1.40E+00,-5.82E-02,-1.16E+00,1.41E-02,3.41E-02,-9.86E-02,-4.34E-01
