,SMS.I.1..20..pct....silt.,V1,V2,V3,V4,V5,V6,7,V8
33260,7.2,-1.14E+00,9.93E-01,-8.23E-01,-2.49E-03,1.49E-01,-1.30E+00,8.41E-01,-1.40E-02
33261,7.2,-1.15E+00,8.79E-01,-1.06E+00,-2.59E-03,1.72E-01,-1.07E+00,8.50E-01,-3.39E-02
33262,7.3,-1.17E+00,8.25E-01,-1.18E+00,-1.72E-03,2.08E-01,-9.60E-01,8.53E-01,-1.89E-02
33263,7.2,-1.19E+00,7.90E-01,-1.29E+00,-2.11E-03,2.09E-01,-8.69E-01,8.49E-01,-2.22E-02
33264,7.2,-1.19E+00,7.52E-01,-1.37E+00,-2.38E-03,2.11E-01,-7.94E-01,8.57E-01,-3.95E-02
33265,7.4,-1.21E+00,6.44E-01,-1.58E+00,-1.16E-03,2.68E-01,-6.22E-01,8.68E-01,-2.42E-02
33266,7.3,-1.21E+00,6.77E-01,-1.52E+00,-1.62E-03,2.50E-01,-6.78E-01,8.61E-01,-2.43E-02
33267,7.2,-1.21E+00,6.91E-01,-1.53E+00,-2.02E-03,2.41E-01,-6.83E-01,8.59E-01,-2.58E-02
33268,7.4,-1.21E+00,6.70E-01,-1.52E+00,-1.23E-03,2.60E-01,-6.77E-01,8.67E-01,-2.31E-02
33269,7.2,-1.24E+00,6.05E-01,-1.70E+00,-2.20E-03,2.59E-01,-5.45E-01,8.58E-01,-2.85E-02
33270,7.4,-1.22E+00,6.12E-01,-1.64E+00,-1.35E-03,2.74E-01,-5.89E-01,8.68E-01,-2.49E-02
33271,7.3,-1.22E+00,6.14E-01,-1.68E+00,-1.51E-03,2.78E-01,-5.67E-01,8.54E-01,-2.81E-02
33272,7.3,-1.23E+00,5.47E-01,-1.81E+00,-1.82E-03,2.88E-01,-4.66E-01,8.50E-01,-3.04E-02
33273,7.3,-1.23E+00,5.69E-01,-1.76E+00,-1.87E-03,2.81E-01,-5.12E-01,8.49E-01,-2.96E-02
33274,7.4,-1.22E+00,5.61E-01,-1.75E+00,-1.38E-03,2.93E-01,-5.11E-01,8.55E-01,-2.80E-02
33275,7.2,-1.21E+00,6.67E-01,-1.52E+00,-2.76E-03,2.37E-01,-7.48E-01,8.35E-01,-2.64E-02
33276,7.3,-1.19E+00,7.06E-01,-1.40E+00,-2.38E-03,2.34E-01,-8.48E-01,8.38E-01,-2.30E-02
33277,7.2,-1.14E+00,9.84E-01,-1.15E+00,1.71E-03,2.26E-01,-6.65E-01,8.62E-01,-4.21E-02
33278,7.3,-1.08E+00,1.28E+00,-7.98E-01,6.91E-03,2.47E-01,-6.12E-01,8.67E-01,-2.60E-02
33279,7.2,-9.28E-01,2.06E+00,-1.82E-02,1.92E-02,2.50E-01,-2.20E-01,9.31E-01,-4.59E-02
33280,7.3,-9.49E-01,1.87E+00,-7.79E-02,1.50E-02,2.26E-01,-5.32E-01,9.09E-01,-4.03E-02
33281,7.2,-9.60E-01,1.87E+00,-1.10E-01,1.49E-02,2.20E-01,-4.54E-01,8.98E-01,-4.29E-02
33282,7.5,-9.87E-01,1.62E+00,-3.23E-01,1.25E-02,2.46E-01,-5.60E-01,8.97E-01,-3.83E-02
33283,7.2,-1.01E+00,1.57E+00,-4.15E-01,1.00E-02,2.13E-01,-5.91E-01,8.74E-01,-4.21E-02
33284,7.5,-1.03E+00,1.44E+00,-5.43E-01,9.95E-03,2.62E-01,-6.21E-01,8.63E-01,-2.39E-02
33285,7.5,-1.07E+00,1.19E+00,-8.21E-01,6.43E-03,2.63E-01,-6.58E-01,8.43E-01,-2.45E-02
33286,7.1,-1.12E+00,9.93E-01,-1.23E+00,3.35E-03,2.55E-01,-4.47E-01,8.30E-01,-4.93E-02
33287,7.4,-1.14E+00,9.09E-01,-1.29E+00,3.54E-03,2.88E-01,-4.74E-01,8.32E-01,-3.02E-02
33288,7.3,-1.15E+00,8.76E-01,-1.34E+00,2.34E-03,2.74E-01,-4.96E-01,8.22E-01,-3.16E-02
33289,7.3,-1.16E+00,8.21E-01,-1.41E+00,1.67E-03,2.77E-01,-4.89E-01,8.20E-01,-3.20E-02
33290,7.3,-1.17E+00,7.95E-01,-1.44E+00,1.20E-03,2.76E-01,-5.06E-01,8.17E-01,-3.18E-02
33291,7.3,-1.16E+00,7.69E-01,-1.49E+00,1.12E-03,2.87E-01,-4.83E-01,8.03E-01,-3.39E-02
33292,7.2,-1.19E+00,7.01E-01,-1.66E+00,6.33E-04,2.96E-01,-3.59E-01,8.00E-01,-3.76E-02
33293,7.2,-1.19E+00,6.81E-01,-1.68E+00,4.13E-04,2.98E-01,-3.54E-01,7.99E-01,-3.78E-02
33294,7.3,-1.18E+00,6.96E-01,-1.63E+00,7.60E-04,3.01E-01,-3.99E-01,8.03E-01,-3.57E-02
33295,7.2,-1.19E+00,6.83E-01,-1.66E+00,1.42E-04,2.92E-01,-3.94E-01,7.97E-01,-3.71E-02
33296,7.3,-1.18E+00,6.77E-01,-1.66E+00,5.41E-04,3.02E-01,-3.94E-01,8.03E-01,-3.59E-02
33297,7.3,-1.20E+00,6.07E-01,-1.78E+00,1.75E-04,3.15E-01,-3.18E-01,8.03E-01,-3.75E-02
33298,7.3,-1.19E+00,6.46E-01,-1.69E+00,8.19E-05,3.02E-01,-4.01E-01,8.01E-01,-3.59E-02
33299,7.2,-1.18E+00,6.85E-01,-1.60E+00,-6.60E-04,2.78E-01,-5.08E-01,7.91E-01,-3.52E-02
33300,7.3,-1.11E+00,9.37E-01,-9.53E-01,-1.15E-03,2.00E-01,-1.10E+00,7.76E-01,-2.28E-02
