,SMS.I.1..20..pct....silt.,V1,V2,V3,V4,V5,V6,V7,V8
4000,11.8,-1.35E+00,-3.35E-01,1.57E+00,3.21E-02,3.96E-01,4.29E-01,-4.75E-01,-6.53E-02
4001,11.7,-1.35E+00,-2.52E-01,1.37E+00,2.77E-02,3.70E-01,2.15E-01,-4.18E-01,-7.33E-02
4002,11.8,-1.33E+00,-2.16E-01,1.06E+00,2.45E-02,3.75E-01,2.44E-01,-4.26E-01,-8.12E-02
4003,11.8,-1.29E+00,-1.93E-01,6.22E-01,1.96E-02,3.72E-01,2.40E-01,-3.82E-01,-7.64E-02
4004,11.5,-1.16E+00,-2.18E-01,2.57E-01,1.43E-02,3.35E-01,2.47E-01,-2.37E-01,-3.26E-02
4005,11.6,-1.08E+00,-2.21E-01,8.48E-03,1.26E-02,3.58E-01,2.37E-01,-1.22E-01,1.09E-02
4006,11.6,-9.30E-01,-3.15E-01,-2.65E-01,1.39E-02,4.46E-01,2.31E-01,2.23E-01,1.23E-01
4007,11.6,-8.37E-01,-3.30E-01,-4.54E-01,1.14E-02,4.29E-01,2.76E-01,2.99E-01,1.60E-01
4008,11.7,-1.02E+00,-2.19E-01,-5.05E-01,9.04E-03,3.93E-01,3.04E-01,-2.92E-02,6.10E-02
4009,12.1,-9.07E-01,-2.49E-01,-7.05E-01,1.10E-02,4.78E-01,3.53E-01,1.63E-01,1.42E-01
4010,11.7,-1.02E+00,-2.02E-01,-6.97E-01,7.03E-03,3.92E-01,3.52E-01,-5.06E-02,4.76E-02
4011,12,-9.30E-01,-2.10E-01,-7.98E-01,7.81E-03,4.33E-01,3.35E-01,8.22E-02,1.09E-01
4012,11.7,-9.49E-01,-2.28E-01,-8.53E-01,5.53E-03,3.95E-01,3.33E-01,7.09E-02,8.28E-02
4013,11.6,-1.00E+00,-2.19E-01,-8.68E-01,5.91E-03,4.14E-01,3.02E-01,4.56E-02,5.82E-02
4014,11.7,-1.01E+00,-1.84E-01,-8.81E-01,4.01E-03,3.77E-01,2.85E-01,-3.37E-02,4.46E-02
4015,11.5,-1.19E+00,-4.96E-02,-5.86E-01,2.14E-03,2.93E-01,7.51E-02,-2.88E-01,-7.17E-02
4016,11.7,-1.34E+00,-1.86E-01,5.37E-01,1.89E-02,3.80E-01,2.15E-01,-3.67E-01,-8.17E-02
4017,11.6,-1.25E+00,-8.30E-01,2.71E+00,5.68E-02,5.43E-01,1.37E+00,-2.83E-01,8.72E-02
4018,11.7,-1.30E+00,-7.68E-01,2.62E+00,5.47E-02,5.23E-01,1.36E+00,-4.07E-01,4.69E-02
4019,11.6,-1.39E+00,-4.26E-01,1.97E+00,3.75E-02,3.81E-01,7.02E-01,-5.41E-01,-6.63E-02
