,SMS.I.1..2..pct....silt.,V1,V2,V3,V4,V5,V6,V7,V8
1823,25.4,2.08E+00,-2.26E-01,1.43E-01,1.61E-01,-8.19E-01,9.45E-01,-3.27E-01,-2.96E-02
1824,25.4,2.10E+00,-3.31E-01,1.28E-01,1.61E-01,-8.07E-01,9.40E-01,-3.43E-01,-2.98E-02
1825,25.5,1.96E+00,-4.65E-01,2.74E-02,1.79E-01,-8.96E-01,1.00E+00,-3.06E-01,-1.99E-01
1826,25.6,1.94E+00,-5.56E-01,-1.20E-02,1.84E-01,-9.13E-01,1.05E+00,-3.17E-01,-1.83E-01
1827,25.7,2.07E+00,-6.11E-01,4.67E-02,1.75E-01,-8.59E-01,1.00E+00,-3.71E-01,-5.60E-02
1828,25.7,1.92E+00,-6.53E-01,-1.86E-02,1.91E-01,-9.51E-01,9.96E-01,-3.12E-01,-2.07E-01
1829,25.7,1.97E+00,-7.21E-01,-5.84E-03,1.85E-01,-9.09E-01,9.99E-01,-3.40E-01,-1.25E-01
1830,25.7,1.99E+00,-8.19E-01,-3.54E-02,1.84E-01,-8.84E-01,1.04E+00,-3.61E-01,-1.22E-01
1831,25.7,1.99E+00,-8.50E-01,-2.06E-02,1.83E-01,-8.80E-01,1.01E+00,-3.58E-01,-1.39E-01
1832,25.7,2.01E+00,-8.52E-01,3.45E-02,1.83E-01,-8.90E-01,9.37E-01,-3.55E-01,-1.40E-01
1833,25.8,2.09E+00,-8.09E-01,1.23E-01,1.78E-01,-8.76E-01,8.32E-01,-3.72E-01,-7.75E-02
1834,25.7,2.32E+00,-5.88E-01,3.96E-01,1.56E-01,-7.97E-01,5.19E-01,-4.11E-01,2.04E-01
1835,25.8,2.40E+00,-9.93E-02,7.83E-01,1.52E-01,-8.81E-01,-1.82E-02,-3.38E-01,2.49E-01
1836,25.8,2.30E+00,3.70E-01,1.06E+00,1.68E-01,-1.08E+00,-4.97E-01,-1.96E-01,7.76E-02
1837,25.8,2.28E+00,3.51E-01,1.05E+00,1.70E-01,-1.09E+00,-5.00E-01,-1.89E-01,5.40E-02
1838,25.8,2.65E+00,2.72E+00,8.09E-01,5.42E-02,-4.60E-01,1.68E+00,-2.58E-01,1.10E-01
1839,25.9,2.57E+00,2.72E+00,7.88E-01,6.30E-02,-5.15E-01,1.67E+00,-2.27E-01,1.61E-02
1840,25.8,2.49E+00,1.95E+00,8.64E-01,9.39E-02,-6.76E-01,9.87E-01,-2.18E-01,4.40E-02
1841,25.9,2.43E+00,1.43E+00,8.43E-01,1.15E-01,-7.67E-01,7.35E-01,-2.33E-01,1.70E-02
1842,25.9,2.46E+00,8.67E-01,7.24E-01,1.18E-01,-7.21E-01,7.62E-01,-3.10E-01,1.30E-01
1843,25.9,2.42E+00,5.01E-01,6.03E-01,1.26E-01,-7.18E-01,8.13E-01,-3.38E-01,9.13E-02
1844,25.8,2.45E+00,2.08E-01,5.10E-01,1.23E-01,-6.63E-01,8.81E-01,-3.88E-01,1.60E-01
1845,25.9,2.59E+00,3.45E-02,5.31E-01,1.13E-01,-5.81E-01,8.68E-01,-4.68E-01,3.58E-01
1846,25.8,2.50E+00,-1.67E-01,4.14E-01,1.20E-01,-5.92E-01,9.75E-01,-4.55E-01,2.39E-01
1847,25.6,2.33E+00,-2.59E-01,3.19E-01,1.35E-01,-6.68E-01,9.89E-01,-3.95E-01,4.97E-02
1848,25.8,2.93E+00,-4.58E-01,4.87E-01,7.72E-02,-2.92E-01,1.01E+00,-6.77E-01,8.25E-01
1849,25.9,2.23E+00,-4.84E-01,2.04E-01,1.53E-01,-7.45E-01,1.08E+00,-3.88E-01,-7.22E-02
1850,25.7,2.40E+00,-7.53E-01,1.37E-01,1.32E-01,-5.69E-01,1.22E+00,-5.04E-01,1.83E-01
1851,25.8,2.82E+00,-7.71E-01,3.38E-01,9.00E-02,-3.25E-01,1.10E+00,-6.76E-01,7.29E-01
1852,25.7,2.42E+00,-7.30E-01,2.09E-01,1.31E-01,-5.84E-01,1.07E+00,-4.93E-01,2.10E-01
1853,25.7,2.78E+00,-8.40E-01,3.24E-01,9.55E-02,-3.55E-01,1.05E+00,-6.59E-01,6.83E-01
1854,25.7,2.40E+00,-8.96E-01,1.42E-01,1.34E-01,-5.79E-01,1.13E+00,-5.12E-01,2.09E-01
1855,25.7,2.47E+00,-8.99E-01,1.95E-01,1.28E-01,-5.46E-01,1.06E+00,-5.38E-01,3.05E-01
1856,25.7,2.40E+00,-9.64E-01,1.52E-01,1.38E-01,-5.99E-01,1.07E+00,-5.13E-01,2.11E-01
1857,25.6,2.40E+00,-8.30E-01,2.54E-01,1.35E-01,-6.14E-01,9.08E-01,-4.78E-01,2.15E-01
1858,25.8,3.42E+00,1.88E-01,1.40E+00,4.32E-02,-2.88E-01,-3.29E-01,-6.83E-01,1.41E+00
1859,25.6,2.41E+00,4.71E-01,1.15E+00,1.45E-01,-9.52E-01,-4.46E-01,-2.05E-01,1.02E-01
1860,25.7,2.38E+00,4.51E-01,1.14E+00,1.51E-01,-9.87E-01,-4.41E-01,-1.99E-01,6.89E-02
1861,25.6,2.57E+00,3.87E-01,1.19E+00,1.30E-01,-8.50E-01,-4.49E-01,-2.83E-01,3.15E-01
1862,25.6,2.85E+00,2.71E+00,9.11E-01,2.40E-02,-2.80E-01,1.69E+00,-3.20E-01,2.66E-01
1863,25.5,2.66E+00,2.74E+00,8.45E-01,4.00E-02,-3.81E-01,1.69E+00,-2.37E-01,3.50E-02
1864,25.6,2.62E+00,2.75E+00,8.42E-01,4.75E-02,-4.29E-01,1.67E+00,-2.18E-01,-2.45E-02
1865,25.5,2.45E+00,1.86E+00,9.27E-01,9.26E-02,-6.77E-01,8.43E-01,-1.72E-01,-1.16E-01
1866,25.5,3.12E+00,1.51E+00,1.21E+00,3.20E-02,-2.92E-01,5.54E-01,-4.77E-01,8.03E-01
1867,25.5,2.70E+00,8.41E-01,8.49E-01,8.18E-02,-5.05E-01,7.19E-01,-3.82E-01,3.12E-01
1868,25.5,2.51E+00,5.21E-01,6.66E-01,1.04E-01,-5.96E-01,8.12E-01,-3.47E-01,1.38E-01
1869,25.4,2.48E+00,2.66E-01,5.71E-01,1.07E-01,-5.76E-01,8.52E-01,-3.66E-01,1.36E-01
1870,25.6,2.47E+00,5.80E-02,4.93E-01,1.13E-01,-5.82E-01,9.34E-01,-3.94E-01,1.35E-01
1871,25.6,2.46E+00,-3.37E-02,4.76E-01,1.16E-01,-5.92E-01,9.23E-01,-4.00E-01,1.35E-01
1872,25.5,2.44E+00,-1.33E-01,4.44E-01,1.16E-01,-5.79E-01,9.13E-01,-4.03E-01,1.35E-01
1873,25.5,2.44E+00,-2.60E-01,3.72E-01,1.18E-01,-5.71E-01,9.86E-01,-4.26E-01,1.33E-01
1874,25.4,2.41E+00,-3.93E-01,3.14E-01,1.17E-01,-5.42E-01,1.04E+00,-4.30E-01,1.32E-01
1875,25.3,2.42E+00,-4.97E-01,2.70E-01,1.16E-01,-5.20E-01,1.08E+00,-4.45E-01,1.14E-01
1876,25.3,2.40E+00,-5.58E-01,2.42E-01,1.18E-01,-5.26E-01,1.09E+00,-4.47E-01,1.30E-01
1877,25.4,2.39E+00,-6.18E-01,2.38E-01,1.22E-01,-5.43E-01,1.08E+00,-4.52E-01,1.31E-01
1878,25.3,2.38E+00,-7.09E-01,1.94E-01,1.22E-01,-5.28E-01,1.11E+00,-4.60E-01,1.30E-01
1879,25.1,2.37E+00,-7.30E-01,1.79E-01,1.18E-01,-5.04E-01,1.10E+00,-4.55E-01,1.29E-01
1880,25.2,2.36E+00,-5.64E-01,3.20E-01,1.24E-01,-5.84E-01,8.72E-01,-4.11E-01,7.16E-02
1881,25.1,2.48E+00,5.37E-01,1.09E+00,1.18E-01,-7.77E-01,-2.41E-01,-2.35E-01,1.46E-01
1882,25.2,2.49E+00,6.46E-01,1.19E+00,1.20E-01,-8.20E-01,-3.94E-01,-2.09E-01,1.52E-01
